id,grade,school_year,score
GvF4AoSjIhNi,D+,2014-2015,33
j0TNqF6XWO3H,D-,2005-2006,76
wEnDe7dwOz3I,B+,2027-2028,46
ESB3mcuHBO5T,C,2025-2026,15
C2sHSuaJ9EjI,D-,2020-2021,87
7MEdhmbefmBc,B-,2002-2003,21
iE19JtJUSlwQ,C-,2025-2026,34
X4Lzm4V94hzW,B-,2017-2018,2
uH2i6MG5meYr,C+,2009-2010,54
8S9R2GQYprqd,C+,2025-2026,95
0YXhF3FzwL9F,C,2015-2016,47
D9arLq1xGq18,D,2027-2028,42
vXt02HvFXQE8,C,2015-2016,24
AOYxJoDp7WEH,B+,2007-2008,44
Yv90rOBpajoK,D,2026-2027,61
2LA1XRRn1jVT,A-,2009-2010,46
q16hjhdkeDZe,C,2012-2013,57
2WfIDUInIt4R,C-,2019-2020,95
WFGMhYRvpcM2,A-,2007-2008,45
B3GLKMmNUt9J,F,2003-2004,76
GlAY1apligky,A-,2013-2014,40
fODuGO40LYUQ,C+,2008-2009,45
BVP8bN3Ws4YW,F,2025-2026,71
hXzCG1kTyDT5,A-,2018-2019,80
kjE9FyJIYria,D+,2004-2005,3
196l0j217Dk9,B,2020-2021,73
FPQoKvssiLoq,B+,2027-2028,80
K8U9hu2XaeV1,B-,2015-2016,40
bu1bYmLrBZCg,D+,2015-2016,4
NOrCD3NPerdZ,C,2012-2013,1
1wpwgH1rupxI,B-,2018-2019,96
0uFrHq0bNCoK,A-,2019-2020,35
fci82MpImtVz,C+,2014-2015,88
GxnVGe8leG4Q,D,2015-2016,35
xrla8NTHeO4M,F,2014-2015,85
OhljAPxWAnfq,A+,2016-2017,30
czWpQzspSk6n,B+,2023-2024,75
953Qsyt31iPp,C+,2002-2003,76
3dMQCmJ2UsBk,D,2003-2004,91
VHieP8rJTUln,B-,2024-2025,33
SgT7bt2cIQ4m,F,2023-2024,6
ly2FN2INpHMm,B+,2003-2004,22
V3yp60CNnKb1,B+,2008-2009,41
ZnFbsasCyvNb,A,2012-2013,17
5MFRBv04r90F,F,2023-2024,50
MBweVaMAEgAJ,B,2009-2010,4
UsoieJfVx1V4,A+,2009-2010,25
QEKsQ4nddZRp,A+,2008-2009,43
o9G0oZ8KJpc7,C+,2024-2025,70
R9LhOvVndMR1,B-,2008-2009,79
GT8n0BnSovH8,A+,2016-2017,29
4LfqvPsi3XSJ,A+,2017-2018,94
zLuIBlEOqJH6,A+,2001-2002,1
jtRC2qkOlRpO,B+,2023-2024,99
XYsNnaY5XCZK,B+,2011-2012,38
4QTAfQNZdLso,D,2013-2014,16
SfTPOxdWsJPP,D,2013-2014,14
X0VtqG9Pjxjj,A+,2021-2022,21
mkup4OfuhqDJ,F,2001-2002,26
i5dzz7Jg5p1C,A-,2006-2007,54
dBJiD9pPGojK,B-,2019-2020,13
70iZjmaOKtMm,D,2023-2024,53
HqrKZpRkwWUG,A,2018-2019,49
BUODCHZ2GU1v,A,2018-2019,21
BnzS5CoTk445,F,2026-2027,83
RgVgFLF6Fz9k,D+,2003-2004,69
dhZR5Nex3e1V,B-,2004-2005,55
K3x8qS0bamO2,D+,2007-2008,77
N56Pd9h6lOsD,C,2023-2024,86
QtlVfAwxFgwh,D+,2016-2017,88
ABR7wioDVGkM,C-,2010-2011,77
fwgeFpgyT4yR,C-,2012-2013,100
yuVULhVWlMLc,C,2016-2017,49
SznEN5TtCVwh,C-,2014-2015,69
PZvD0RCrk0t1,B+,2008-2009,26
pZx5c4vlvrrv,C+,2012-2013,69
3TjiK6ME9FUo,C+,2017-2018,95
n18SWFYH6e2I,D,2006-2007,27
4USvyzEIVnR6,D,2005-2006,87
QXnWHL5SP7Sp,A+,2012-2013,51
JLPj8c2ZqctP,B,2016-2017,78
c0ZXMt0sUwt6,C+,2008-2009,23
UpHGcX9rWez2,B-,2003-2004,71
hV0vDEClgv4J,B+,2002-2003,68
wuqZA2XpVEzg,B-,2017-2018,26
7jcFaXwzd0We,B,2012-2013,31
kq019szW0rvx,A-,2004-2005,79
h8A8Wv6DdGQS,A,2027-2028,12
L9MPIe7NQ2zE,C,2016-2017,57
MQggZzoZ0Icr,A,2005-2006,25
1wTkCeqJs0Vf,D,2015-2016,40
Nn4qmfuPn3jJ,C,2013-2014,9
DUr0yGZExlsy,D-,2020-2021,4
mw0IXfwl0lvU,C+,2005-2006,96
8aaBEI1CLr2p,A-,2014-2015,74
mW3oRTo93jNu,D+,2014-2015,86
Qfxureidfyuv,B,2016-2017,22
NDaiskrcidUo,C+,2014-2015,81
VrGpDlMc88gV,B+,2018-2019,97
Dh1ADXcj1UcY,B+,2011-2012,85
FJaSfYSZ86JI,F,2007-2008,88
0WWoplaBOIxX,A+,2003-2004,100
kJeRINzJfemZ,B-,2013-2014,44
V8thDtwbigO7,B-,2011-2012,28
CuPdEDqYhN1o,B,2024-2025,22
un7IQXqi16Mu,C,2011-2012,4
04g8rONkRMxZ,C-,2013-2014,49
tQZJGhyLWHan,B+,2017-2018,74
2URYIaFthy1r,D-,2012-2013,18
mKug9OMcbOhA,A-,2019-2020,51
5E9OGZVXW92h,D,2013-2014,32
FqKTtrdgVKzG,C+,2020-2021,13
9i9WPjoaMUjN,A-,2007-2008,54
eofJEjmQ9c1T,F,2006-2007,22
OhfjgU5noTSN,B-,2025-2026,25
AFAjJaahdwKA,A+,2010-2011,11
f4EBNYFzTN3y,C,2022-2023,12
SwGW0hoiEfxI,A,2016-2017,65
sY7NofhVqJoS,A,2002-2003,56
u9eTBQshVoJf,A,2026-2027,5
aiWlV57qSieq,B,2025-2026,18
Up9hb4x5zY5m,A-,2019-2020,28
FWMe8T2xbS7g,B-,2023-2024,82
SBrVRbw7OLsK,B+,2017-2018,23
K4I0pTWme5sH,A+,2003-2004,44
rgCaJOZ46AbX,C-,2009-2010,69
u6ORD8vOT8VR,A,2002-2003,40
6ac5Rxgnj3BW,C+,2019-2020,3
wF9t3qFrckeb,D+,2011-2012,66
WIpkJ58kVGfd,D+,2002-2003,32
4VSfArL7XuNu,A,2006-2007,33
1byyV3fKImKh,A+,2016-2017,43
5ja54vleeg6n,C+,2026-2027,36
SAtpVuDQ3iet,C-,2024-2025,28
c9Sh3KGOctgY,A-,2023-2024,32
Vsgp6zQCy10n,D-,2015-2016,16
G0OX92PH9zTJ,F,2025-2026,18
1CikBaImw914,C,2010-2011,78
MxJCCq9CBWXO,F,2001-2002,29
XaVHELzi2uFa,B,2012-2013,24
iyjuFcnNRqqF,D-,2003-2004,42
EFu6qT9ETXz7,D+,2013-2014,47
qa6VX70WWEQb,A,2023-2024,40
SFvWWfGYeqqA,C+,2025-2026,27
us3CxuGFmiPQ,D+,2008-2009,38
4nJGSbn0Q9A0,C-,2011-2012,57
Ezk3fj8OQG1B,D,2006-2007,62
92oaHbsUO0HP,A+,2005-2006,37
3A6qlgzs3pXq,B-,2022-2023,61
LDiDxfeWb3fo,C+,2024-2025,72
0vutIpcy9dMt,B,2016-2017,47
ggc0dhpfYxdz,D-,2005-2006,70
fykYDpwXereV,D+,2020-2021,33
kFw29Vj9DZHO,B,2020-2021,59
fff1lqmSjDXz,D+,2021-2022,40
Gg0tcJHJjBLE,C-,2004-2005,68
cIlB3wMAAizs,D-,2001-2002,1
3ElflWlQ0B7c,A-,2004-2005,16
UtAu9Pq1vp1A,D,2017-2018,85
u9slWsfBccc4,F,2001-2002,7
U7ln0dmYIahH,B-,2011-2012,76
KGHDKKPHdhYD,B+,2024-2025,47
UYTcwirNFsH0,B+,2017-2018,38
UK4fKD01uRmy,C,2005-2006,40
pOpT5FavzxiS,A-,2024-2025,81
JPdZSoLgtOEm,B+,2003-2004,42
VhJFUcTO3wl3,B+,2006-2007,40
rtxQhMedz62T,D-,2015-2016,38
cembgYtu9gH4,C,2026-2027,56
MyXRxt36NxBx,D+,2006-2007,82
IPD76W7Ttkyj,A,2008-2009,93
lx5KCKyoTHqY,C+,2012-2013,76
cE12ccNx1MWl,D+,2025-2026,76
VBnjasaieL7I,B+,2027-2028,72
LoOQ5vyVF8QX,B-,2027-2028,88
VhRzGNbabLly,C+,2024-2025,7
zltQuVZzG15z,D,2009-2010,51
a7EeKylagHjf,F,2006-2007,34
hwrZ6wL4i2GH,B,2014-2015,84
LJYv8EuJKCjj,B+,2023-2024,21
yc31rlluXfJA,B,2014-2015,51
g8o2YzWNhBHp,F,2025-2026,36
9YD2vlSlWQWp,B,2013-2014,31
HEpR5bBYXU6N,C+,2027-2028,78
R9ZbKdwHF2Pq,A+,2010-2011,99
6nTLc5qaHkng,C+,2004-2005,86
snupS9yGTrHs,C,2011-2012,25
R6WGy1zkjiD4,A+,2018-2019,11
6jAV8BGBAPWH,F,2004-2005,21
upn4xaKNhpPj,B-,2027-2028,52
aOMFtV1E3SUh,D,2014-2015,76
DKqpJuEi2SUv,A+,2015-2016,53
ulZJYcQwKxB3,B+,2015-2016,76
DfAT74k7IzQc,D-,2022-2023,9
43HYpMLuYG8V,D+,2019-2020,34
taMuOsJyoSjI,A+,2017-2018,30
tNadMuuartUF,D+,2021-2022,98
4HEcO4w8gMvY,C-,2011-2012,74
iZnT4blTkQJV,B-,2016-2017,46
p0nNvAChLkAf,C+,2003-2004,75
vVgbf9iCnad9,D+,2006-2007,9
XJFAbI017d8J,D,2021-2022,51
cNaaqaHEG0J3,A+,2016-2017,5
dmUTCM6h7gFe,B+,2019-2020,40
EM4CiJdpoWud,F,2009-2010,19
eBE1mD3I82rj,D,2025-2026,36
EVkWiFKn8ppE,D-,2009-2010,99
W2vLeX3iiNBy,C,2007-2008,16
efDkJDFrNJcl,C+,2016-2017,76
jOU443BiYebv,A-,2026-2027,26
L2ZLDAxiJ9CA,C,2010-2011,84
0Wk0ntqVmnmH,A+,2009-2010,26
d1kZJZ9JNR7w,D+,2018-2019,17
q0u4AnzawVxl,B-,2020-2021,66
rRCudMTCqQLY,A-,2001-2002,62
sEHaz9FS1ibK,D-,2026-2027,71
AV10jzEE1GQC,D,2006-2007,44
YwVa1JrrKUCG,D+,2022-2023,99
XUlIRRWaXiBS,B-,2003-2004,75
oXfGgO0ogbYw,C+,2008-2009,47
YSmsugQ8niZL,C-,2013-2014,92
xBB4aMF5bEuO,F,2017-2018,91
UcPc24pgWN0e,B,2007-2008,19
og1EtIXDwX7d,D-,2010-2011,7
ygUCkkWpXBCS,B,2017-2018,55
Uzhin4MhJAAF,C,2019-2020,40
AVZyGLI93KMr,A+,2008-2009,80
ZVZTCum8FNvA,A+,2010-2011,14
EV2nYBvs1UE0,A+,2004-2005,48
ylgEtv5oJozM,A-,2024-2025,27
n5FYlPhzfjo4,D,2010-2011,72
ASXxC8LqV58X,D,2008-2009,55
y9nNUGblcLNd,C+,2008-2009,65
1PUBRWwaFcWG,A-,2011-2012,18
gIcxYAoq6qGu,C-,2027-2028,4
DXyUh5aJLS1R,D-,2001-2002,50
tGQvpUCnQsQl,D+,2025-2026,77
VvnmTUScDiny,F,2025-2026,18
od2OrDcYF5hP,A-,2025-2026,37
S7OxRa05tBTp,A+,2021-2022,66
TEpfqFcI1Mmq,F,2023-2024,19
zZxC7j7EKw1c,A-,2026-2027,3
wVIgOIxz8Q80,A+,2001-2002,90
ULznoK5K4JQ2,B,2007-2008,87
C1HAtA7Z3yOm,C-,2012-2013,98
8UC4tv0Fh80v,A+,2026-2027,61
6i4BYQtWD3HU,D+,2017-2018,49
fXxU6U9K2TXS,D+,2013-2014,21
6VOlNsIF46M9,D-,2011-2012,67
PitvVeAkSyVg,F,2021-2022,57
juCkNVlbCsxt,D-,2024-2025,99
MJNiXZcp45Ye,A+,2027-2028,90
srHJV9f7NATO,C,2001-2002,3
cpOLLqNH1jyH,D+,2018-2019,35
FgUxNLS1wlZk,F,2004-2005,26
KtgGpQwzfE48,A,2012-2013,98
VZPEAuRfHzmU,A+,2001-2002,52
wynnkxEFDiEl,A-,2020-2021,63
2GsNylEc9hYG,B,2013-2014,70
DeuVIAuofP2L,B-,2015-2016,72
4D9FH47Z3Tgi,B+,2017-2018,77
5P9OfApUFXEB,B-,2012-2013,57
7zAqdfffgwL8,A-,2011-2012,3
hDY8ql3E0jFF,A,2002-2003,81
7YosuVk8czPC,C,2001-2002,78
yjloozaIX3m1,B+,2025-2026,55
Hq5yzaXHJLyK,D-,2004-2005,43
TiK1a8bKinmU,D,2012-2013,84
3mkcltuoXkzs,A,2011-2012,56
iQac8Mi7hoVc,A,2021-2022,79
21hXW5p73grY,B,2022-2023,49
q3RWL8BB9ktB,C,2004-2005,95
EcVYoDfmDsbX,C-,2012-2013,69
kKrn8LL6yLwy,D,2024-2025,81
jn8LT9beyoiY,B,2012-2013,18
kVZNuTjrp2JI,B+,2003-2004,27
TNDgmVJ31JPu,A+,2008-2009,64
U1ET2linN9I8,C,2024-2025,58
HR2686NlFWih,B+,2015-2016,93
d7rTVjOQS7gV,A-,2007-2008,41
zzQaMBNsY4Ky,B-,2006-2007,31
CpBFPPFnB4k7,A,2005-2006,7
0Wyofblo8yDk,C-,2007-2008,37
5BuVofARMNHw,D+,2021-2022,51
mGcAWYRI5Zuk,B,2017-2018,84
9GsePhFtgjjd,F,2011-2012,20
QM4kK7dhHx1n,C+,2016-2017,5
DsBZr69ZYPGc,C,2016-2017,21
PWhg6q3eywVs,C,2013-2014,28
nDeWzmMQQOR1,D,2025-2026,16
wBvfAZwDXetg,C+,2003-2004,79
jSD5qMVtOt5B,B+,2023-2024,48
PWAiiXbtPIuB,F,2003-2004,48
wvbzKvxkONSi,A+,2005-2006,9
kfAMJBHHcXnb,C+,2016-2017,67
o2SmUhIvqhkJ,D+,2007-2008,92
amwc3ixzZJAR,D+,2004-2005,93
aIjxA0Le6uaP,B-,2014-2015,69
EDsKsQoeZJ9F,C-,2023-2024,96
Izyyq1v8qhJd,D,2023-2024,49
if5smGivasrH,A-,2023-2024,3
QjkYm1dryhuU,A-,2008-2009,57
rqxAe4y4kqob,D+,2025-2026,44
RlYpgZDxKjS5,D,2027-2028,94
qszOK19SJQGs,D,2021-2022,17
L2imTDAVwMaf,A,2005-2006,87
KEMho4EjGWZD,A+,2006-2007,39
8g5R7LJjvbjZ,A,2027-2028,83
SL4XIKo2XpsA,A-,2023-2024,56
Bjk002gXcEbj,D+,2004-2005,15
fPLH4pTvjero,D+,2020-2021,2
rfA9uA3Xa218,D-,2002-2003,97
168bt7yu7CKf,C,2001-2002,61
dG2bWqKK9wt5,A-,2005-2006,93
jds5ygVhVj0D,A-,2013-2014,2
4AoiAr6HcxDK,C,2015-2016,81
HJzStIjmqTrP,D,2019-2020,96
xhW2MuFwc9To,C-,2015-2016,6
0NXrlleph7Zx,A-,2027-2028,49
eS8gkLTPe2WW,F,2021-2022,88
c6nKAU9STrTq,D+,2020-2021,100
5vxS06x2OQmU,B+,2003-2004,14
lCVFLI0qqlN1,D+,2011-2012,55
ePqsacDtV5FM,C+,2010-2011,36
9ecz7VHVSp6C,C-,2024-2025,62
LteeRJaROvZK,B+,2006-2007,4
6eJnwdIVo4zV,D-,2004-2005,27
rUvW9TZQoQV8,D-,2002-2003,57
7bo33p0Ovce0,A,2010-2011,68
QqOQSHkma7el,B,2024-2025,19
MhdAxEfofdyF,C,2008-2009,18
TTBScxZPOTYk,B,2019-2020,76
9bJ5RVmOCOef,C,2003-2004,74
XXldk4qvvl52,B-,2015-2016,29
823Z9jbgh4MK,D-,2013-2014,52
mnLrPcXqOHFo,D-,2003-2004,99
KRRmQfcrqizH,A+,2002-2003,38
pbgxkA2Z3p9j,A-,2023-2024,21
XeXb7bGOEmCx,A-,2004-2005,100
f6ywveZJxVTk,F,2026-2027,43
O4iHtpB9uLdG,D-,2011-2012,37
SLcMM27aAcGJ,A-,2012-2013,64
S0w1DKNjUr7b,C,2015-2016,99
SgY57ZVDoY0x,C-,2008-2009,93
73ZUeoldbuvh,D,2022-2023,18
qyVGlS5Ukzwe,D,2015-2016,76
I3vUuHPKutV8,C-,2011-2012,60
SayhGVy2h7dJ,B-,2013-2014,74
0dCeYV5XaZmx,D-,2013-2014,58
m4DjTj7wtYEX,C,2009-2010,99
kuGm0zRMM3rU,B+,2005-2006,98
c0Id64MOXxxF,C+,2013-2014,72
VB9hO1ltdMbk,B-,2011-2012,12
3K0fby4BSQx9,D,2024-2025,62
TuTYWemvTSLh,D,2023-2024,14
bRBCyvrexcYt,D-,2009-2010,57
nH2MFMTgdFbK,C,2024-2025,57
ym9gY7y1nQw6,A-,2001-2002,63
khdDNF137iOo,B+,2010-2011,39
gmYIaeiVEExH,B,2005-2006,97
Q0wk2XraAp4I,A-,2016-2017,66
x4jhZgBndaNi,C-,2019-2020,15
u5ZU7pnWsBCV,D-,2010-2011,74
jwtr5wmVvsWi,C+,2015-2016,45
fhGA8Np9DuET,A-,2021-2022,99
x3VRu6ZJMwQc,C+,2018-2019,20
wFtYYBf4Sgq8,C+,2023-2024,49
NJ0S9ArH39x9,A-,2005-2006,42
udWqkpCYVlif,D+,2015-2016,58
BcFEK6hfcFWG,C-,2010-2011,35
DSIjr3ZrOyW6,F,2001-2002,12
4UscJ4OIEHU5,D,2007-2008,1
oYBcnE1bRExY,D-,2023-2024,13
SwuPaQG799ne,B+,2021-2022,59
fhvkhojAI8jT,B+,2020-2021,23
Yp0DkQB9jwWS,D+,2005-2006,16
SGGsZeMAj9UZ,A+,2013-2014,59
SBolmVqr2bI0,B+,2004-2005,74
iJA4awP1fgme,D+,2014-2015,97
ScE64SHzpXNw,D+,2021-2022,43
WHCeBLDHWvcC,D,2019-2020,44
cpmxicq719qq,C+,2012-2013,92
zbiC1EDxGpex,A+,2012-2013,64
2G3nDlvrVY8a,A,2017-2018,58
XK4RLhH0q5gP,C,2018-2019,20
ZlwTzf1XBzo3,C-,2027-2028,88
FCHugZMbzpkL,A+,2025-2026,57
sMIKZ5RTvurk,F,2010-2011,53
pHsWYPRuy6SC,B,2016-2017,42
mQiw8kxtWfPd,D+,2004-2005,47
7oDYXA9hyz0s,D+,2001-2002,59
z8f05ISP7qdf,A-,2005-2006,40
bsTyrMJaKoLL,A-,2021-2022,30
loDY6H6JgZEC,C-,2019-2020,90
WPxTQDYayof2,D-,2003-2004,70
lKP5BdJGMmY3,C,2023-2024,100
HYv07lasTT3q,A+,2012-2013,14
7M2dVdg74tPO,A,2015-2016,95
Brr5KRdHXkwV,B,2007-2008,99
yIPBqtOxFj3G,C-,2013-2014,61
cdW4iIFZmeFa,B-,2023-2024,56
qVdjsE5FxscS,D-,2025-2026,10
IAkyLXWmecS7,D-,2007-2008,82
EMvEyiKEfjJD,A,2014-2015,22
pUfOckFGgJFJ,A-,2003-2004,38
uqhDHwsWYU31,F,2011-2012,87
aX47oY4ALblS,D,2004-2005,98
3AwLEJg2BuUB,D,2014-2015,42
kmLQhGFsbT1r,C,2024-2025,59
yFeAeiSI226K,B,2023-2024,42
mNMzpkaoAe1y,B,2019-2020,5
ACWNXPrUz8xr,D,2018-2019,60
ReE9sOyyDMgf,D+,2022-2023,23
XP2lPKreQmX3,D-,2019-2020,100
simVIXUBxiQR,D+,2014-2015,43
6d4xXws32rGO,D,2018-2019,57
3qfjNU5gazRH,F,2004-2005,55
dHAd2QiFBTkb,A,2025-2026,82
hbwNHj1g54LT,B,2015-2016,87
DQqd5RKsFNxR,A-,2016-2017,17
FHRWdp62yXQ7,D+,2009-2010,21
GpWcbfUYgwdX,A,2004-2005,23
d0jWX8ckhjLP,D+,2009-2010,62
yvm7Mujx4VyV,B-,2003-2004,31
284AW7TYBwwt,A,2017-2018,54
Di45Z44FR0mm,A-,2001-2002,83
L6eqi5G3Dv6J,D-,2020-2021,72
0JgVeIEL7kXx,A-,2027-2028,30
JTu3NNAJo3I7,D,2002-2003,43
CE3YRT4UlrGX,A+,2023-2024,38
rqYoSLa991yM,B+,2021-2022,46
TpVZFKiQhmz1,D-,2023-2024,12
H0RzJeZMwtYr,F,2013-2014,7
F7EC6bP3z1cq,D+,2004-2005,61
7qUG174GeCU0,B,2016-2017,90
16TqZfMbTTHt,C,2022-2023,66
6miGQz1ffnxY,A-,2025-2026,47
LWTfLtSnVpRd,C-,2003-2004,8
NgFcXD2FtEYQ,D-,2003-2004,1
OOERZ2TLzqSE,B,2006-2007,16
G0P45agatXXs,A-,2016-2017,92
DzMOtSF9dTwc,D+,2003-2004,6
MDJPAk4Erti9,A+,2004-2005,11
grUectZZ362B,B,2022-2023,42
vrJJOm3HGZl3,B,2022-2023,79
WqssG2GjJEgW,A,2008-2009,24
SgZKmTD8VePz,A,2016-2017,74
Oe6EHZJlQDpb,B+,2017-2018,11
7d43Qpbua8Hx,C,2007-2008,92
ri3KAYHWOYmF,D+,2013-2014,45
fEOondCb2bAA,D,2005-2006,62
QOZDIMVPlPqM,A-,2027-2028,48
gkLjB10jDQwn,C+,2001-2002,98
4Wb1peGe3JwM,D-,2015-2016,1
gQdq2RmIiXFY,A+,2015-2016,97
PfxddZNlzRTj,D+,2013-2014,14
if70UG7q6UeK,A+,2007-2008,6
8yyWwy40h5A8,C+,2011-2012,78
VmcXF1uAtK0h,F,2006-2007,55
42Vngya0RFxL,B+,2010-2011,47
pG6jp6YrnHLP,A-,2019-2020,100
7IBa8noRXs2r,A,2003-2004,49
LQpA1z4ITRKA,A+,2020-2021,46
kjoulEy8jQzj,D+,2005-2006,82
ZCri5shYNEi0,C+,2012-2013,7
ievLOADA2XcI,A-,2003-2004,12
2g2CRGQ9Uf9i,A+,2014-2015,41
br0W27hVkEgS,A,2002-2003,66
j0cWSSRWF6c2,D-,2019-2020,74
EGVn0RVy92C5,A-,2023-2024,19
vrIjvdFB2cdN,C,2020-2021,86
USGfcoZ3oH0y,D-,2010-2011,61
nTrficTMSTJh,A,2018-2019,43
1lOSCKjlwc1f,C,2004-2005,35
U5Ieu6GTBJPU,D-,2024-2025,37
NMr6qvGPmI21,D,2020-2021,3
DKaqWHQTskHu,A-,2016-2017,62
FEtokvz4PZME,A-,2002-2003,40
sHDWvb4TMioe,B+,2021-2022,54
rkhS99rwgxwN,A,2016-2017,68
wZB2MBlHxys0,B-,2013-2014,77
goChAvqiq9n2,D+,2014-2015,30
of72ZY1hW5Ay,B+,2011-2012,38
SY3icYM1jL3j,A,2003-2004,58
MpHSeXySpeax,C,2026-2027,98
sBMWzcmFPhNO,A,2002-2003,7
8l1RJnybUZHW,B-,2026-2027,8
HAxtsk0plSED,B+,2024-2025,46
E1B2Kl7wU9fy,C-,2013-2014,36
gp0NDArI6K75,C,2024-2025,20
IvXu1XNmAznw,D-,2010-2011,39
jU5gkQlqy5ZN,D,2025-2026,13
KyEwQ9TGyJAW,B,2025-2026,14
SYkXffChqu2z,C+,2016-2017,58
fpxd1Xp8cHgO,A-,2014-2015,78
n4cf9B9NBx9F,F,2015-2016,65
ppBLhtJix93K,D-,2020-2021,12
QvtALqnH5U2T,F,2026-2027,39
V179wQmRPu75,C,2016-2017,78
oapIuJUWwQ54,C+,2019-2020,61
r1c9HMfkCxWE,C-,2004-2005,64
lFovhvNhb2NW,A,2002-2003,87
S8mG77QjolDY,B-,2013-2014,41
wtHSn8utQ6pt,D,2022-2023,58
sZe5oKp3XIe3,B,2022-2023,50
HQJF2zMo82kW,A-,2022-2023,18
2U3LfVkQ3LCI,C+,2013-2014,77
x1C2dGxyy62U,B-,2007-2008,78
jFZepPAmcl6r,D+,2002-2003,10
KpdpPeI4mZI5,F,2005-2006,16
YdqTLOK9WRyx,F,2002-2003,3
PTzP0710dijm,D,2008-2009,44
vqZfvokAC8rQ,D+,2003-2004,76
wxO29BD1paWG,D-,2005-2006,5
w5Ry4GUdXyHE,F,2016-2017,22
oTa8uMU2PN8S,B+,2025-2026,86
mQvruA7lGoIV,A-,2021-2022,14
MllaYVzK451K,A+,2004-2005,18
pgTovPWebnjk,C+,2007-2008,46
rKpxLruqlrV8,A-,2007-2008,70
kPFeMwGbx8VO,C,2005-2006,87
pru6I5QoK16a,C-,2016-2017,43
GZwOm6PiNnlc,C-,2008-2009,71
AOaPtZyDqb1v,C-,2024-2025,44
92DYuQPgXs4V,C+,2010-2011,36
hZQsNzGjHWEN,A,2021-2022,36
4wBhWantfDMA,B,2012-2013,10
DS4eXPCnTMHB,D,2023-2024,60
NhPQNwiZkokW,C-,2020-2021,16
YjIEgi8WKO7d,F,2014-2015,39
NiHXVXx2ZnvZ,C,2018-2019,22
96Gyi6KFEgGS,F,2014-2015,42
xB3eeGDYpFMv,B,2019-2020,72
tqRiE31IDV03,B-,2019-2020,73
VdyPzK9SMF5S,B,2026-2027,46
UF2W38AfTx5g,F,2020-2021,22
AkXWyrD90EX4,B,2005-2006,73
uvv9HT9SqFnU,B-,2023-2024,86
lHGSdPYVuUX0,C,2022-2023,99
l177VypMmRHF,B-,2022-2023,74
asV9LgyLWuoL,B-,2024-2025,61
L8jwLi5bSU9I,D-,2003-2004,46
nlbqmuituqZ6,D-,2011-2012,17
3GQoQlmATK8Y,D+,2019-2020,47
Be79MNAqharm,D-,2025-2026,91
xD6TqRJBrm1U,C,2015-2016,77
YqMZVD9a4Gi4,B+,2025-2026,85
vPF0i65GtZjU,B,2002-2003,78
zlyezKrlRHT5,C,2009-2010,74
ELYU36CZHNPV,B-,2024-2025,40
fFqjxluQBNYT,C-,2012-2013,87
1wQW5nQ4wzp9,D,2014-2015,83
UOnItT8g9HDb,D,2022-2023,11
vsj94O2g9Kmm,B+,2004-2005,36
TaQPT5JiKLy1,C+,2019-2020,98
AdW4zU67QyXU,A-,2002-2003,52
mz7SuLX2CmW4,B-,2027-2028,19
MFd7eGqzA4Vv,B+,2017-2018,72
sf0jDlt5zDmN,A,2016-2017,93
zPWxeyGi8lTy,C,2014-2015,67
Ou2wZw1STJRY,B,2017-2018,15
UkOWtPY4wuZ8,D+,2007-2008,49
7cK7LdDc038W,B-,2010-2011,58
FCNz43gO22NT,D+,2015-2016,28
y6REDzEMENmq,A-,2010-2011,68
fT8e3CTComOw,C,2020-2021,71
d8mYHsqMocSr,D-,2002-2003,41
xeirOrmY4iuk,F,2013-2014,19
7zKZyK0u7Nj3,C+,2021-2022,81
t3cNRAHZMxlR,F,2007-2008,71
HpynOMou2Aso,D+,2027-2028,11
cdKPTD3ACE0q,A+,2012-2013,20
TpEE4lFq2DwQ,B,2004-2005,3
Xv4nRlDC6tVf,B,2017-2018,29
x7hCJyA3Xo0A,F,2004-2005,73
lt5maOImGJti,D-,2007-2008,86
lj0R4yepZaPw,C-,2008-2009,2
yHAUjAaKOMPY,C,2009-2010,76
jFhGj4KRmyiJ,A-,2019-2020,53
7vWVJe36cFKE,C-,2015-2016,95
qm2oHhPpnDvm,D+,2004-2005,69
UEcqZ8LOJ8VP,B,2009-2010,51
1rPn4L49ixLR,D+,2015-2016,43
2BCv867Z2AXJ,D-,2001-2002,9
QyzjCqWna4dF,B-,2024-2025,49
Cq6m1KoszpcI,F,2027-2028,8
VSb40v6lvkcM,A,2017-2018,85
b61yzlo4NtdE,A-,2025-2026,83
OlwpqjTUiJcJ,D+,2018-2019,65
U6v9QDOX5q9i,C+,2015-2016,47
6GmQueKVnIPR,F,2022-2023,23
ywSxkvowYKRH,C,2024-2025,92
kjE58yHnQEAc,B+,2003-2004,91
31DomwtYJBz3,B-,2018-2019,5
iUhRwN2sdP6a,C+,2006-2007,48
WD4BzahdNPOR,D,2003-2004,71
65tbydKyN2Yi,C-,2003-2004,73
79xBKMGuZYXH,C,2015-2016,63
OdznnPSEbglx,B,2008-2009,40
qizRGtoXQhw1,A-,2025-2026,9
qJH36hNSyl2m,D+,2016-2017,55
UomXEjVvreu5,C+,2019-2020,12
9C64GAcyRTXJ,A-,2002-2003,17
TqPwVyXQvzNk,C,2026-2027,49
QDMbMTlWfptx,F,2004-2005,19
f9nSeNbpMOC8,C-,2022-2023,39
